satellite_id,timestamp,orbit_error_m,clock_error_ns,radial_error_m,ephemeris_age_hours
G01,2025-07-06 00:00:00,35029459.10399817,12563492.289780162,-23110782.097748205,0.0
G02,2025-07-06 00:00:00,35389173.33772788,12889842.679772547,-23910388.23595868,0.0
G03,2025-07-06 00:00:00,32212155.760664836,,-19642600.17752181,0.0
G04,2025-07-06 00:00:00,38525642.5397012,6037001.901213571,-27850060.257913567,0.0
G05,2025-07-06 00:00:00,14793677.863777837,-1304733.267814978,-4197916.472391201,0.0044444444444444444
G06,2025-07-06 00:00:00,48283005.06518759,-23005884.62420939,-43983281.037901685,0.0
G07,2025-07-06 00:00:00,31816283.57328836,-6200200.296692788,-18637702.03142852,0.0
G08,2025-07-06 00:00:00,12194193.63694243,2121133.7075959803,-3171979.509018155,0.0
G09,2025-07-06 00:00:00,42111050.06885483,11584516.947896758,-33427221.095552605,0.0
G10,2025-07-06 00:00:00,37994769.57109891,-14678393.179117111,-27016547.35086237,0.0044444444444444444
G11,2025-07-06 00:00:00,18849060.369701065,12726660.389864592,-6720784.360988247,0.0
G12,2025-07-06 00:00:00,50008480.79662235,-1957929.481543706,-47130376.75675246,0.0
G13,2025-07-06 00:00:00,41470673.162160054,-163156.42179201616,-32563263.359049667,0.0
G14,2025-07-06 00:00:00,51895510.98689119,6852827.773284166,-50878144.04484446,0.0
G15,2025-07-06 00:00:00,36269111.9948519,5708236.863029027,-24426108.518163703,0.0044444444444444444
G16,2025-07-06 00:00:00,43219748.33249006,11910845.220155962,-34722845.34195279,0.0
G17,2025-07-06 00:00:00,48097111.13335427,-23811678.858297303,-43512172.31292646,0.0044444444444444444
G18,2025-07-06 00:00:00,26690763.33065159,9300250.769134266,-13245321.295609348,0.0
G19,2025-07-06 00:00:00,15077176.30552598,4566637.175838268,-4357784.360909943,0.0044444444444444444
G20,2025-07-06 00:00:00,37709356.23674869,-163163.7813182926,-26684394.369275805,0.0
G21,2025-07-06 00:00:00,43956740.17405184,45685433.799159504,-36374078.47370696,0.0
G22,2025-07-06 00:00:00,40448867.69582169,1305310.5694533333,-30424969.095843215,0.0
G23,2025-07-06 00:00:00,48729093.98202564,8973933.570470061,-44807248.23943573,0.0
G24,2025-07-06 00:00:00,47301147.12781088,13216147.983058235,-42141782.449074596,0.0
G25,2025-07-06 00:00:00,49306344.07839791,-2121081.470742344,-46151601.4540695,0.0
G26,2025-07-06 00:00:00,22412702.238715373,4894880.365369791,-9632262.779949443,0.0
G27,2025-07-06 00:00:00,24502404.286457818,489502.90751322184,-11177296.219129357,0.0
G28,2025-07-06 00:00:00,47197966.71165923,-4242218.342979354,-41937648.68258073,0.0
G29,2025-07-06 00:00:00,32547797.884977028,6852818.931188516,-20041466.12018153,0.0
G30,2025-07-06 00:00:00,19687955.681269333,14684598.587778315,-7089644.132539854,0.0
G31,2025-07-06 00:00:00,43103803.07810674,1957933.6908254644,-34790218.54349984,0.0
G32,2025-07-06 00:00:00,52635506.7053629,16805694.566523816,-52061991.861233994,0.0
G01,2025-07-06 00:15:00,35378571.8131934,12563492.225819753,-23572128.358351577,0.25
G02,2025-07-06 00:15:00,33470029.87798898,12889838.562691357,-21492405.625968438,0.25
G03,2025-07-06 00:15:00,30060599.42377895,,-17112506.486484855,0.25
G04,2025-07-06 00:15:00,39593398.20810408,6037002.867671674,-29413748.326401502,0.25
G05,2025-07-06 00:15:00,18002384.5161077,-1304734.0842153085,-6181330.31188396,0.2544444444444444
G06,2025-07-06 00:15:00,47467704.66234053,-23005884.82609863,-42500028.15602162,0.25
G07,2025-07-06 00:15:00,34272813.6964079,-6200203.801078991,-21698900.05985844,0.25
G08,2025-07-06 00:15:00,11327098.851950925,2121132.9274869063,-2819838.3381523653,0.25
G09,2025-07-06 00:15:00,39492462.70066578,11584516.060442558,-29407341.80145168,0.25
G10,2025-07-06 00:15:00,39326523.63510231,-14678394.370814888,-28997719.505115338,0.2544444444444444
G11,2025-07-06 00:15:00,15261664.117433388,12726660.393278347,-4430110.067741291,0.25
G12,2025-07-06 00:15:00,48899586.730722934,-1957928.0453297922,-45081247.154889256,0.25
G13,2025-07-06 00:15:00,43065006.48136594,-163159.13788710587,-35081474.144372,0.25
G14,2025-07-06 00:15:00,52083194.402915195,6852828.1682042,-51274910.7715394,0.25
G15,2025-07-06 00:15:00,34237936.29559103,5708237.688967909,-21735442.21524103,0.2544444444444444
G16,2025-07-06 00:15:00,43529574.31308869,11910849.475666683,-35235409.20665176,0.25
G17,2025-07-06 00:15:00,47005078.49150421,-23811679.91664114,-41546161.7058614,0.2544444444444444
G18,2025-07-06 00:15:00,29810575.831478573,9300252.271784456,-16576078.518400583,0.25
G19,2025-07-06 00:15:00,16063416.751239723,4566634.922163255,-4939680.755368575,0.2544444444444444
G20,2025-07-06 00:15:00,38126509.20388916,-163162.923482822,-27277531.93383588,0.25
G21,2025-07-06 00:15:00,41782396.52854971,45685433.89060465,-32864262.204259317,0.25
G22,2025-07-06 00:15:00,40377738.087901905,1305314.19553266,-30336967.873745225,0.25
G23,2025-07-06 00:15:00,49880102.71655062,8973932.355682261,-46970881.94647969,0.25
G24,2025-07-06 00:15:00,48986075.24663492,13216142.768239347,-45105718.19493884,0.25
G25,2025-07-06 00:15:00,48149028.44788431,-2121081.4707138864,-44049137.737738274,0.25
G26,2025-07-06 00:15:00,20250409.796544187,4894877.607263995,-7847619.564876312,0.25
G27,2025-07-06 00:15:00,21657239.16139478,489506.3626378323,-8751474.587663118,0.25
G28,2025-07-06 00:15:00,47963157.848415695,-4242218.28041981,-43309498.88857335,0.25
G29,2025-07-06 00:15:00,29789593.629080493,6852818.159462587,-16820211.114475783,0.25
G30,2025-07-06 00:15:00,22499186.265178606,14684596.375577759,-9318602.35509098,0.25
G31,2025-07-06 00:15:00,44694312.47436639,1957936.3636601216,-37466898.3817197,0.25
